taxon,genus,endemism_category,esa_status,nv_state_status,blm_status,usfs_status,natureserve_grank,book_thematic_category,notes,physiographic_region,physiographic_section
Astragalus ensiformis var. gracilior,Astragalus,listed,,,BLM Sensitive,,G3,,Common name: Veyo milkvetch,,
Eriogonum pharnaceoides var. cervinum,Eriogonum,listed,,,BLM Sensitive,,G4,,NDNH endemism status: Not Evaluated; Common name: Deer Lodge buckwheat,,
Hackelia sharsmithii,Hackelia,listed,,,,Forest Service Region 5 Sensitive/Watch,G3,,NDNH endemism status: Not Evaluated; Common name: Sharsmith stickseed,,
Strombocarpa pubescens,Strombocarpa,listed,,,BLM Special Status,,G3,,Common name: screwbean mesquite,,
Lupinus uncialis,Lupinus,listed,,,BLM Special Status,,,,NDNH endemism status: Not Evaluated,,
Penstemon sudans,Penstemon,listed,,,BLM Sensitive,,G4,,NDNH endemism status: Not Evaluated; Common name: Susanville beardtongue,,
Zeltnera namophila,Zeltnera,listed,Threatened,Critically Endangered,BLM Sensitive,,G1,,Common name: spring-loving centaury,,
Linanthus glaber,Linanthus,listed,,,BLM Sensitive,,G2,,NDNH endemism status: Not Evaluated; Common name: Owyhee prickly phlox,,
Pedicularis centranthera,Pedicularis,listed,,,BLM Special Status,,,,NDNH endemism status: Not Evaluated,,
Penstemon bicolor ssp. bicolor,Penstemon,listed,,,BLM Sensitive,,G3,,NDNH endemism status: Not Evaluated; Common name: yellow twotone beardtongue,,
Townsendia leptotes,Townsendia,listed,,,,Forest Service Region 5 Sensitive/Watch,,,NDNH endemism status: Not Evaluated; Common name: narrowleaf grounddaisy,,
Loeflingia squarrosa ssp. artemisiarum,Loeflingia,listed,,,BLM Sensitive,,G5,,NDNH endemism status: Not Evaluated; Common name: sagebrush pygmyleaf,,
Astragalus johannis-howellii,Astragalus,listed,,,BLM Sensitive,Forest Service Region 4 Sensitive,G2,,NDNH endemism status: Not Evaluated; Common name: Long Valley milkvetch,,
Astragalus nyensis,Astragalus,listed,,,BLM Sensitive,,G3,,Common name: Nye milkvetch,,
Astragalus diversifolius,Astragalus,listed,,,BLM Sensitive,,G2,,Common name: meadow milkvetch,,
Boechera falcatoria,Boechera,listed,,,,Forest Service Region 4 Sensitive,,,Common name: Grouse Creek rockcress,,
Phacelia geraniifolia,Phacelia,listed,,,BLM Sensitive,,G2,,Common name: Jaeger phacelia,,
Botrychium lunaria,Botrychium,listed,,,,Forest Service Region 5 Sensitive/Watch,G5,,NDNH endemism status: Not Evaluated; Common name: common moonwort,,
Phacelia inundata,Phacelia,listed,,,BLM Sensitive,,G3,,NDNH endemism status: Not Evaluated; Common name: playa phacelia,,
Hulsea vestita var. inyoensis,Hulsea,listed,,,,Forest Service Region 5 Sensitive/Watch,G5,,NDNH endemism status: Not Evaluated; Common name: Inyo hulsea,,
Astragalus funereus,Astragalus,listed,,,BLM Sensitive,,G2,,NDNH endemism status: Not Evaluated; Common name: black woollypod,,
Carex vallicola,Carex,listed,,,,Forest Service Region 5 Sensitive/Watch,,,NDNH endemism status: Not Evaluated; Common name: Western valley sedge,,
Physocarpus alternans,Physocarpus,listed,,,,Forest Service Region 5 Sensitive/Watch,,,Common name: Nevada Ninebark,,
Oreocarya schoolcraftii,Oreocarya,listed,,,BLM Sensitive,,G3,,Common name: Schoolcraft catseye,,
Astragalus eurylobus,Astragalus,listed,,,BLM Sensitive,,G2,,NDNH endemism status: Not Evaluated; Common name: Needle Mountains milkvetch,,
Cladium californicum,Cladium,listed,,,,Forest Service Region 5 Sensitive/Watch,,,NDNH endemism status: Not Evaluated; Common name: California sawgrass,,
Frasera albomarginata var. induta,Frasera,listed,,,BLM Special Status,,G5,,Common name: Clark Mountain green gentian,,
Cuniculotinus gramineus,Cuniculotinus,listed,,,,Forest Service Region 5 Sensitive/Watch,,,NDNH endemism status: Not Evaluated,,
Eriogonum bifurcatum,Eriogonum,listed,,,BLM Sensitive,,G3,,NDNH endemism status: Not Evaluated; Common name: Pahrump Valley buckwheat,,
Opuntia pulchella,Opuntia,listed,,"Protected (cactus, yucca, or Christmas tree)",BLM Sensitive,Forest Service Region 5 Sensitive/Watch,G3,,Common name: sand cholla,,
Transberingia bursifolia ssp. virgata,Transberingia,listed,,,,Forest Service Region 5 Sensitive/Watch,G4,,Common name: strictwort,,
Hackelia brevicula,Hackelia,listed,,,,Forest Service Region 5 Proposed Sensitive/Watch,G3,,Common name: Poison Canyon stickseed,,
Eriogonum contiguum,Eriogonum,listed,,,BLM Special Status,,G3,,NDNH endemism status: Not Evaluated; Common name: Amargosa buckwheat,,
Chaetadelpha wheeleri,Chaetadelpha,listed,,,,Forest Service Region 5 Sensitive/Watch,,,NDNH endemism status: Not Evaluated; Common name: Wheelers dune-broom,,
Draba asterophora var. asterophora,Draba,listed,,,,Forest Service Region 4 Sensitive,G2,,Common name: Tahoe draba,,
Astragalus kentrophyta var. elatus,Astragalus,listed,,,,Forest Service Region 5 Proposed Sensitive/Watch,,,NDNH endemism status: Not Evaluated,,
Sisyrinchium radicatum,Sisyrinchium,listed,,,BLM Sensitive,,G2,,Common name: Saint George blue eyed grass,,
Potentilla pulcherrima,Potentilla,listed,,,,Forest Service Region 5 Sensitive/Watch,,,Common name: Beautiful cinquefoil,,
Carex duriuscula,Carex,listed,,,,Forest Service Region 5 Sensitive/Watch,,,NDNH endemism status: Not Evaluated,,
Salvia funerea,Salvia,listed,,,BLM Sensitive,,G4,,NDNH endemism status: Not Evaluated; Common name: Death Valley sage,,
Lepidium davisii,Lepidium,listed,,,BLM Sensitive,,G3,,Common name: Davis peppercress,,
Astragalus preussii var. laxiflorus,Astragalus,listed,,,BLM Special Status,,G4,,NDNH endemism status: Not Evaluated; Common name: Littlefield milkvetch,,
Penstemon leiophyllus var. francisci-pennellii,Penstemon,listed,,,BLM Sensitive,,G3,,NDNH endemism status: Not Evaluated; Common name: Pennell beardtongue,,
Petalonyx thurberi ssp. gilmanii,Petalonyx,listed,,,BLM Special Status,,,,NDNH endemism status: Not Evaluated,,
Silene nachlingerae,Silene,endemic,,,BLM Sensitive,Forest Service Region 4 Sensitive,G2,,Common name: Nachlinger catchfly,,
Astragalus calycosus var. monophyllidius,Astragalus,listed,,,BLM Sensitive,,,,NDNH endemism status: Not Evaluated; Common name: one-leaflet Torrey milkvetch,,
Astragalus mohavensis var. hemigyrus,Astragalus,listed,,,BLM Sensitive,,G3,,Common name: halfring milkvetch,,
Mentzelia torreyi,Mentzelia,listed,,,,Forest Service Region 5 Sensitive/Watch,,,NDNH endemism status: Not Evaluated,,
Goodmania luteola,Goodmania,listed,,,,Forest Service Region 5 Sensitive/Watch,G3,,Common name: yellow spinecape,,
Penstemon bicolor ssp. roseus,Penstemon,listed,,,BLM Sensitive,,G3,,NDNH endemism status: Not Evaluated; Common name: rosy twotone beardtongue,,
Agave utahensis var. nevadensis,Agave,listed,,,BLM Sensitive,,G4,,Common name: Clark Mountain agave,,
Atriplex argentea var. longitrichoma,Atriplex,listed,,,BLM Sensitive,,G5,,Common name: Pahrump silverscale,,
Potentilla cottamii,Potentilla,listed,,,BLM Sensitive,,G2,,Common name: Cottam cinquefoil,,
Rorippa subumbellata,Rorippa,listed,,Critically Endangered,BLM Sensitive,Forest Service Region 5 Sensitive/Watch,G1,,Common name: Tahoe yellowcress,,
Populus angustifolia,Populus,listed,,,,Forest Service Region 5 Proposed Sensitive/Watch,,,NDNH endemism status: Not Evaluated,,
Streptanthus oliganthus,Streptanthus,listed,,,BLM Sensitive,Forest Service Region 4 Sensitive,G3,,Common name: Masonic Mountain jewelflower,,
Physaria ludoviciana,Physaria,listed,,,,Forest Service Region 5 Sensitive/Watch,,,Common name: Foothill bladderpod,,
Lupinus holmgrenianus,Lupinus,listed,,,BLM Sensitive,,G2,,NDNH endemism status: Not Evaluated; Common name: Holmgren lupine,,
Astragalus atratus var. mensanus,Astragalus,listed,,,BLM Special Status,,,,NDNH endemism status: Not Evaluated,,
Carex stevenii,Carex,listed,,,,Forest Service Region 5 Proposed Sensitive/Watch,,,NDNH endemism status: Not Evaluated,,
Cymopterus ripleyi var. saniculoides,Cymopterus,listed,,,BLM Special Status,,G3,,Common name: sanicle biscuitroot,,
Abronia nana var. covillei,Abronia,listed,,,,Forest Service Region 5 Sensitive/Watch,,,NDNH endemism status: Not Evaluated; Common name: Coville abronia,,
Botrychium simplex,Botrychium,listed,,,,Forest Service Region 5 Proposed Sensitive/Watch,,,NDNH endemism status: Not Evaluated,,
Erigeron latus,Erigeron,listed,,,BLM Sensitive,,G3,,NDNH endemism status: Not Evaluated; Common name: broad fleabane,,
Boechera bodiensis,Boechera,listed,,,BLM Sensitive,Forest Service Region 4 Sensitive,G3,,Common name: Bodie Hills rockcress,,
Sclerocactus pubispinus,Sclerocactus,listed,,"Protected (cactus, yucca, or Christmas tree)",BLM Sensitive,,G2,,Common name: Great Basin fishhook cactus,,
Anulocaulis leiosolenus var. leiosolenus,Anulocaulis,listed,,,BLM Sensitive,,G4,,NDNH endemism status: Not Evaluated; Common name: Southwestern ringstem,,
Cymopterus globosus,Cymopterus,listed,,,,Forest Service Region 5 Sensitive/Watch,,,Common name: Ball Springparsely,,
Ericameria cervina,Ericameria,listed,,,BLM Sensitive,,G2,,NDNH endemism status: Not Evaluated; Common name: Antelope Canyon goldenbush,,
Eriogonum microtheca var. schoolcraftii,Eriogonum,listed,,,BLM Sensitive,,G5,,Common name: Schoolcraft buckwheat,,
Astragalus lentiginosus var. stramineus,Astragalus,listed,,,BLM Sensitive,,G5,,NDNH endemism status: Not Evaluated; Common name: straw milkvetch,,
Penstemon concinnus,Penstemon,listed,,,BLM Sensitive,Forest Service Region 4 Sensitive,G3,,NDNH endemism status: Not Evaluated; Common name: Tunnel Springs beardtongue,,
Penstemon fruticiformis ssp. amargosae,Penstemon,listed,,,BLM Sensitive,,G4,,NDNH endemism status: Not Evaluated; Common name: Death Valley beardtongue,,
Dryopteris filix-mas,Dryopteris,listed,,,,Forest Service Region 5 Sensitive/Watch,,,NDNH endemism status: Not Evaluated,,
Astragalus serenoi var. shockleyi,Astragalus,listed,,,,Forest Service Region 5 Sensitive/Watch,G4,,NDNH endemism status: Not Evaluated; Common name: Shockley milkvetch,,
Eriogonum phoeniceum,Eriogonum,listed,,,BLM Sensitive,,,,NDNH endemism status: Not Evaluated; Common name: scarlet buckwheat,,
Astragalus lemmonii,Astragalus,listed,,,California BLM Sensitive,Forest Service Region 5 Sensitive/Watch,,,NDNH endemism status: Not Evaluated; Common name: Lemmon milkvetch,,
Ivesia aperta var. aperta,Ivesia,listed,,,BLM Sensitive,Forest Service Region 4 Sensitive,G2,,Common name: Sierra Valley mousetails,,
Penstemon pahutensis,Penstemon,listed,,,BLM Sensitive,,G3,,Common name: Pahute Mesa beardtongue,,
Botrychium crenulatum,Botrychium,listed,,,BLM Sensitive,Forest Service Region 4 Sensitive,G4,,NDNH endemism status: Not Evaluated; Common name: dainty moonwort,,
Astragalus uncialis,Astragalus,listed,,,BLM Sensitive,Forest Service Region 4 Sensitive,G3,,NDNH endemism status: Not Evaluated; Common name: Currant milkvetch,,
Eriogonum rosense var. beatleyae,Eriogonum,listed,,,BLM Sensitive,,,,NDNH endemism status: Not Evaluated; Common name: Beatley buckwheat,,
Oxytheca watsonii,Oxytheca,listed,,,BLM Sensitive,,G2,,NDNH endemism status: Not Evaluated; Common name: Watson spinecup,,
Astragalus oophorus var. lonchocalyx,Astragalus,listed,,,BLM Sensitive,,G4,,NDNH endemism status: Not Evaluated; Common name: long-calyx eggvetch,,
Astragalus pulsiferae var. coronensis,Astragalus,listed,,,BLM Special Status,,G4,,Common name: Rams Horn Spring milkvetch,,
Collomia renacta,Collomia,listed,Under Review,,BLM Sensitive,,G1,,NDNH endemism status: Not Evaluated; Common name: Barren Valley collomia,,
Astragalus anserinus,Astragalus,listed,,,BLM Sensitive,,G2,,Common name: Goose Creek milkvetch,,
Astragalus solitarius,Astragalus,listed,,,BLM Sensitive,,G3,,NDNH endemism status: Not Evaluated; Common name: lonesome milkvetch,,
Viola aurea,Viola,listed,,,,Forest Service Region 5 Sensitive/Watch,,,NDNH endemism status: Not Evaluated; Common name: golden violet,,
Botrychium lineare,Botrychium,listed,,,,Forest Service Region 4 Sensitive,G3,,Common name: slender moonwort,,
Pediomelum castoreum,Pediomelum,listed,,,BLM Sensitive,,G3,,NDNH endemism status: Not Evaluated; Common name: Beaver Dam breadroot,,
Sclerocactus polyancistrus,Sclerocactus,listed,,"Protected (cactus, yucca, or Christmas tree)",BLM Special Status,Forest Service Region 5 Sensitive/Watch,G3,,Common name: hermit cactus,,
Penstemon calcareus,Penstemon,listed,,,,Forest Service Region 5 Sensitive/Watch,,,Common name: limestone beardtongue,,
Aphyllon californicum ssp. grayanum,Aphyllon,listed,,,,Forest Service Region 5 Proposed Sensitive/Watch,,,Common name: Gray broomrape,,
Ivesia rhypara var. rhypara,Ivesia,listed,,,BLM Sensitive,,G2,,Common name: grimy mousetails,,
Phacelia parishii,Phacelia,listed,,,BLM Sensitive,,G3,,NDNH endemism status: Not Evaluated; Common name: Parish phacelia,,
Trifolium eriocephalum var. villiferum,Trifolium,listed,,,BLM Special Status,,G5,,NDNH endemism status: Not Evaluated; Common name: woolly clover,,
Erigeron compactus,Erigeron,listed,,,,Forest Service Region 5 Sensitive/Watch,G3,,NDNH endemism status: Not Evaluated; Common name: mound daisy,,
Phacelia minutissima,Phacelia,listed,,,BLM Sensitive,Forest Service Region 4 Sensitive,G3,,Common name: least phacelia,,
Cymopterus basalticus,Cymopterus,listed,,,BLM Sensitive,,G2,,Common name: shadscale spring parsley,,
Astragalus mokiacensis,Astragalus,listed,,,BLM Sensitive,,G3,,NDNH endemism status: Not Evaluated; Common name: Mokiak milkvetch,,
Thelypodium integrifolium ssp. complanatum,Thelypodium,listed,,,,Forest Service Region 5 Sensitive/Watch,,,Common name: foxtail thelypody,,
Agave utahensis var. eborispina,Agave,listed,,,BLM Sensitive,,G4,,Common name: ivory-spined agave,,
Mentzelia polita,Mentzelia,listed,,,BLM Sensitive,,G2,,Common name: polished blazing star,,
Jamesia americana var. rosea,Jamesia,listed,,,,Forest Service Region 5 Sensitive/Watch,G5,,Common name: Cliffbush,,
Jamesia tetrapetala,Jamesia,listed,,,BLM Sensitive,Forest Service Region 4 Sensitive,G2,,Common name: waxflower,,
Glossopetalon pungens var. pungens,Glossopetalon,endemic,,,BLM Sensitive,,,,Common name: rough dwarf greasebush,,
Astragalus amphioxys var. musimonum,Astragalus,near-endemic,,,BLM Sensitive,,G5,,Common name: Sheep Range milkvetch,,
Nitrophila mohavensis,Nitrophila,listed,Endangered,Critically Endangered,BLM Sensitive,,G1,,Common name: Amargosa niterwort,,
Draba californica,Draba,listed,,,,Forest Service Region 5 Sensitive/Watch,G3,,Common name: California draba,,
Astragalus lentiginosus var. kernensis,Astragalus,listed,,,,Forest Service Region 5 Sensitive/Watch,G5,,NDNH endemism status: Not Evaluated; Common name: Kern Plateau milkvetch,,
Thelypodium milleflorum,Thelypodium,listed,,,,Forest Service Region 5 Sensitive/Watch,G5,,Common name: Many-flowered Thelypody,,
Oryctes nevadensis,Oryctes,listed,,,BLM Sensitive,,G3,,NDNH endemism status: Not Evaluated; Common name: oryctes,,
Cusickiella quadricostata,Cusickiella,listed,,,BLM Sensitive,Forest Service Region 4 Sensitive,G2,,NDNH endemism status: Not Evaluated; Common name: Bodie Hills draba,,
Penstemon thompsoniae ssp. jaegeri,Penstemon,endemic,,,BLM Sensitive,Forest Service Region 4 Sensitive,G4,,Common name: Jaeger beardtongue,,
Botrychium minganense,Botrychium,listed,,,,Forest Service Region 5 Sensitive/Watch,,,NDNH endemism status: Not Evaluated; Common name: Mingan moonwort,,
Carex hallii,Carex,listed,,,,Forest Service Region 5 Proposed Sensitive/Watch,,,NDNH endemism status: Not Evaluated,,
Allium atrorubens var. atrorubens,Allium,listed,,,,Forest Service Region 5 Sensitive/Watch,,,Common name: Dark-red Onion,,
Epilobium nevadense,Epilobium,listed,,,BLM Sensitive,Forest Service Region 4 Sensitive,G3,,NDNH endemism status: Not Evaluated; Common name: Nevada willowherb,,
Astragalus pulsiferae var. pulsiferae,Astragalus,listed,,,BLM Sensitive,,G4,,NDNH endemism status: Not Evaluated; Common name: Ames milkvetch,,
Astragalus yoder-williamsii,Astragalus,listed,,Critically Endangered,BLM Sensitive,,G3,,NDNH endemism status: Not Evaluated; Common name: Osgood Mountains milkvetch,,
Helianthus deserticola,Helianthus,listed,,,BLM Special Status,,G3,,Common name: dune sunflower,,
Phacelia monoensis,Phacelia,listed,,,BLM Sensitive,Forest Service Region 4 Sensitive,G3,,Common name: Mono County phacelia,,
Viola charlestonensis,Viola,listed,,,BLM Special Status,Forest Service Region 4 Sensitive,G3,,NDNH endemism status: Not Evaluated; Common name: Charleston violet,,
Botrychium ascendens,Botrychium,listed,,,,Forest Service Region 4 Sensitive,G4,,NDNH endemism status: Not Evaluated; Common name: upswept moonwort,,
Ladeania lanceolata,Ladeania,listed,,,,Forest Service Region 5 Sensitive/Watch,,,NDNH endemism status: Not Evaluated,,
Lomatium roseanum,Lomatium,listed,,,California BLM Sensitive,,G2,,Common name: adobe parsley,,
Boechera shockleyi,Boechera,listed,,,,Forest Service Region 5 Sensitive/Watch,,,Common name: Shockley rockcress,,
Pinus washoensis,Pinus,listed,,"Protected (cactus, yucca, or Christmas tree)",BLM Sensitive,,G3,,NDNH endemism status: Not Evaluated; Common name: Washoe pine,,
Mentzelia inyoensis,Mentzelia,listed,,,BLM Sensitive,Forest Service Region 5 Sensitive/Watch,G2,,Common name: Inyo blazing star,,
Cirsium tenuisectum,Cirsium,listed,,,BLM Special Status,,G5,,Common name: Keystone Canyon thistle,,
Astragalus hornii var. hornii,Astragalus,listed,,,California BLM Sensitive,,,,Common name: Horn milkvetch,,
Penstemon idahoensis,Penstemon,listed,,,BLM Sensitive,,G2,,Common name: Idaho beardtongue,,
Oreocarya compacta,Oreocarya,listed,,,BLM Sensitive,,G3,,Common name: mound catseye,,
Erigeron uncialis var. uncialis,Erigeron,listed,,,California BLM Sensitive,Forest Service Region 5 Sensitive/Watch,G4,,Common name: limestone daisy,,
Botrychium tunux,Botrychium,listed,,,,Forest Service Region 4 Sensitive,G3,,Common name: moosewort,,
Eriogonum eremicum,Eriogonum,listed,,,BLM Sensitive,,G2,,Common name: hermit buckwheat,,
Ivesia aperta var. canina,Ivesia,listed,,,,Forest Service Region 4 Sensitive,G2,,Common name: Dog Valley ivesia,,
Ivesia kingii var. kingii,Ivesia,listed,,,BLM Sensitive,Forest Service Region 5 Sensitive/Watch,G4,,Common name: alkali mousetails,,
Epilobium canum ssp. garrettii,Epilobium,listed,,,BLM Sensitive,,,,Common name: hummingbird flower,,
Erythranthe calcicola,Erythranthe,listed,,,BLM Special Status,,G3,,Common name: limestone monkeyflower,,
Draba asterophora var. 3,Draba,listed,,,,Forest Service Region 4 Sensitive,,,Common name: Heavenly draba,,
Eriogonum corymbosum var. aureum,Eriogonum,listed,,,BLM Special Status,,G5,,Common name: golden buckwheat,,
Cryptantha clokeyi,Cryptantha,listed,,,BLM Special Status,,G3,,Common name: Clokey cryptantha,,
Claytonia panamintensis,Claytonia,listed,,,BLM Special Status,,G2,,Common name: Panamint spring beauty,,
Eremogone kingii var. glabrescens,Eremogone,listed,,,,Forest Service Region 4 Sensitive,,,Common name: King sandwort,,
Monardella mojavensis,Monardella,listed,,,BLM Sensitive,,G2,,Common name: Mojave Monardella,,
Phacelia anelsonii,Phacelia,listed,,,,,G2,,Common name: Aven Nelson phacelia,,
Arundo donax,Arundo,listed,,,,,G5,,NDNH endemism status: Not Evaluated; Common name: giant reed,,
Ericameria nauseosa var. washoensis,Ericameria,listed,,,,,G5,,NDNH endemism status: Not Evaluated; Common name: Washoe rabbitbrush,,
Frangula obovata,Frangula,listed,,,,,G4,,NDNH endemism status: Not Evaluated; Common name: obovate buckthorn,,
Taeniatherum caput-medusae,Taeniatherum,listed,,,,,G4,,NDNH endemism status: Not Evaluated; Common name: medusahead,,
Tetradymia argyraea,Tetradymia,listed,,,,,G4,,Common name: striped horsebrush,,
Eriogonum gracilipes,Eriogonum,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: raspberry buckwheat,,
Nama depressa,Nama,listed,,,,,G4,,NDNH endemism status: Not Evaluated; Common name: dwarf purple mat,,
Sphaeromeria potentilloides var. potentilloides,Sphaeromeria,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: cinquefoil tansy,,
Conium maculatum,Conium,listed,,,,,G5,,NDNH endemism status: Not Evaluated; Common name: poison hemlock,,
Atriplex bonnevillensis,Atriplex,listed,,,,,G2,,Common name: Bonneville saltbush,,
Eremogone congesta var. simulans,Eremogone,listed,,,,,G5,,Common name: Lassen sandwort,,
Elatine californica,Elatine,listed,,,,,G5,,Common name: California Waterwort,,
Chaenactis nevadensis,Chaenactis,listed,,,,,G3,,Common name: Sierra pincushion,,
Galium matthewsii,Galium,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: Matthews bedstraw,,
Hesperocallis undulata,Hesperocallis,listed,,,,,G3,,Common name: desert lily,,
Oxystylis lutea,Oxystylis,listed,,,,,G3,,Common name: spiny caper,,
Phacelia peirsoniana,Phacelia,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: Pierson phacelia,,
Cleomella parviflora,Cleomella,listed,,,,,G3,,Common name: Small-flower Rhombo-pod,,
Oxytropis besseyi var. argophylla,Oxytropis,listed,,,,,G5,,NDNH endemism status: Not Evaluated; Common name: silverleaf red loco,,
Penstemon leonardii var. patricus,Penstemon,listed,,,,,G4,,NDNH endemism status: Not Evaluated; Common name: dads penstemon,,
Ericameria parryi var. aspera,Ericameria,listed,,,,,G5,,NDNH endemism status: Not Evaluated; Common name: rough rabbitbrush,,
Draba subumbellata,Draba,listed,,,,,G3,,Common name: White Mountains cushion draba,,
Astragalus lentiginosus var. semotus,Astragalus,listed,,,,,G5,,NDNH endemism status: Not Evaluated; Common name: White Mountains milkvetch,,
Penstemon davidsonii var. praeteritus,Penstemon,listed,,,,,G4,,NDNH endemism status: Not Evaluated; Common name: timberline beardtongue,,
Carex sheldonii,Carex,listed,,,,,G4,,NDNH endemism status: Not Evaluated; Common name: Sheldon sedge,,
Crossosoma bigelovii var. bigelovii,Crossosoma,listed,,,,,G5,,NDNH endemism status: Not Evaluated; Common name: Bigelows crossoma,,
Fimbristylis thermalis,Fimbristylis,listed,,,,,G4,,Common name: hotspring feathersedge,,
Linaria dalmatica,Linaria,listed,,,,,G5,,NDNH endemism status: Not Evaluated; Common name: Dalmatian toadflax,,
Glossopetalon pungens,Glossopetalon,listed,,,,,G2,,NDNH endemism status: Not Evaluated; Common name: dwarf greasebush,,
Potentilla multisecta,Potentilla,listed,,,,,G3,,Common name: Great Basin cinquefoil,,
Hymenopappus filifolius var. tomentosus,Hymenopappus,listed,,,,,G5,,NDNH endemism status: Not Evaluated; Common name: cobweb hymenopappus,,
Eriogonum darrovii,Eriogonum,listed,,,,,G2,,NDNH endemism status: Not Evaluated; Common name: Darrow buckwheat,,
Carex limosa,Carex,listed,,,,,G5,,NDNH endemism status: Not Evaluated; Common name: mud sedge,,
Phlox stansburyi ssp. superba,Phlox,listed,,,,,G5,,NDNH endemism status: Not Evaluated; Common name: inchtube phlox,,
Laphamia intricata,Laphamia,listed,,,,,G3,,Common name: desert rockdaisy,,
Berberis haematocarpa,Berberis,listed,,,,,G5,,Common name: Algerita,,
Chaenactis alpigena,Chaenactis,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: southern sierra pincushion,,
Lathyrus laetivirens,Lathyrus,listed,,,,,G4,,NDNH endemism status: Not Evaluated; Common name: bright sweetpea,,
Pyrrocoma apargioides,Pyrrocoma,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: alpine flames,,
Ribes oxyacanthoides ssp. hendersonii,Ribes,listed,,,,,G5,,Common name: Hendersons Gooseberry,,
Rhinotropis heterorhyncha,Rhinotropis,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: notchbeak milkwort,,
Peteria thompsonae,Peteria,listed,,,,,G4,,NDNH endemism status: Not Evaluated; Common name: spiny-node milkvetch,,
Mentzelia reflexa,Mentzelia,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: Panamint stickleaf,,
Penstemon pratensis,Penstemon,listed,,,,,G4,,NDNH endemism status: Not Evaluated; Common name: western whiteflower beardtongue,,
Plagiobothrys mollis,Plagiobothrys,listed,,,,,G4,,NDNH endemism status: Not Evaluated; Common name: creeping plagiobothrys,,
Centaurea diffusa,Centaurea,listed,,,,,,,NDNH endemism status: Not Evaluated; Common name: diffuse knapweed,,
Scutellaria sapphirina,Scutellaria,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: White Pine skullcap,,
Selaginella leucobryoides,Selaginella,listed,,,,,G4,,Common name: Mojave spikemoss,,
Grusonia parishii,Grusonia,listed,,,,,G3,,Common name: Parish club-cholla,,
Penstemon floridus var. floridus,Penstemon,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: Panamint beardtongue,,
Frasera puberulenta,Frasera,listed,,,,,G4,,NDNH endemism status: Not Evaluated; Common name: western gentian,,
Stillingia spinulosa,Stillingia,listed,,,,,G4,,NDNH endemism status: Not Evaluated; Common name: annual toothleaf,,
Plagiobothrys salsus,Plagiobothrys,listed,,,,,G2,,NDNH endemism status: Not Evaluated; Common name: saltmarsh allocarya,,
Imperata brevifolia,Imperata,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: satintail,,
Leptosiphon pachyphyllus,Leptosiphon,listed,,,,,G2,,NDNH endemism status: Not Evaluated; Common name: Sierra linanthus,,
Ferocactus cylindraceus var. lecontei,Ferocactus,listed,,"Protected (cactus, yucca, or Christmas tree)",,,G5,,NDNH endemism status: Not Evaluated; Common name: Mojave barrel cactus,,
Anthemis cotula,Anthemis,listed,,,,,G5,,NDNH endemism status: Not Evaluated; Common name: mayweed chamomile,,
Echinocereus triglochidiatus var. mojavensis,Echinocereus,listed,,"Protected (cactus, yucca, or Christmas tree)",,,G5,,Common name: Mojave mound cactus,,
Yucca brevifolia,Yucca,listed,Under Review,"Protected (cactus, yucca, or Christmas tree)",,,G3,,NDNH endemism status: Not Evaluated; Common name: western Joshua tree,,
Trifolium lemmonii,Trifolium,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: Lemmon clover,,
Aquilegia scopulorum,Aquilegia,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: Utah columbine,,
Castilleja martini var. clokeyi,Castilleja,listed,,,,,,,NDNH endemism status: Not Evaluated; Common name: Clokey paintbrush,,
Elymus sierrae,Elymus,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: Sierra wild rye,,
Selaginella utahensis,Selaginella,listed,,,,,G2,,NDNH endemism status: Not Evaluated; Common name: Utah spikemoss,,
Phacelia austromontana,Phacelia,listed,,,,,G4,,NDNH endemism status: Not Evaluated; Common name: southern Sierra phacelia,,
Phacelia thermalis,Phacelia,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: hotspring phacelia,,
Linanthus inyoensis,Linanthus,listed,,,,,G3,,NDNH endemism status: Not Evaluated; Common name: Inyo linanthus,,
Nama rothrockii,Nama,listed,,,,,G4,,NDNH endemism status: Not Evaluated; Common name: blue balls,,
Penstemon patens,Penstemon,listed,,,,,G2,,NDNH endemism status: Not Evaluated; Common name: Owens Valley beardtongue,,
Lythrum salicaria,Lythrum,listed,,,,,G5,,NDNH endemism status: Not Evaluated; Common name: purple loosestrife,,
